Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.557630  
Best F1 (Single): 0.537532  
AVG F1          : 0.547581  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.643012   0.492265   0.557630   0.347081  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.047619   0.678416   0.445100   0.537532  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
145086     0.142857   0.773458   0.565161   0.653103  
126039     0.095238   0.587627   0.647378   0.616057  
100098     0.047619   0.773366   0.664887   0.715036  
147091     0.142857   0.713532   0.495995   0.585201  
35010      0.047619   0.677855   0.681592   0.679718  
23025      0.428571   0.595337   0.714689   0.649576  
65074      0.047619   0.754665   0.756982   0.755821  
8049       0.047619   0.604077   0.707547   0.651731  
183055     0.380952   0.461644   0.433592   0.447179  
176039     0.142857   0.915754   0.387405   0.544473  
130026     0.142857   0.665442   0.178429   0.281404  
374067     0.142857   0.705430   0.527997   0.603951  
78019      0.095238   0.722214   0.542104   0.619330  
135069     0.047619   0.794039   0.469782   0.590313  
126007     0.047619   0.749656   0.533928   0.623664  
157055     0.047619   0.779996   0.464506   0.582262  
100080     0.047619   0.502626   0.447033   0.473202  
76053      0.285714   0.423376   0.606120   0.498528  
163014     0.095238   0.632402   0.559943   0.593971  
239007     0.047619   0.694037   0.605010   0.646473  
61086      0.380952   0.558898   0.331458   0.416129  
2092       0.047619   0.424441   0.571093   0.486965  
208001     0.047619   0.427966   0.654507   0.517531  
145014     0.095238   0.691854   0.361138   0.474562  
368078     0.238095   0.695657   0.641760   0.667622  
135037     0.142857   0.659909   0.253829   0.366635  
55075      0.047619   0.682725   0.524938   0.593524  
296059     0.285714   0.688317   0.719521   0.703573  
164074     0.047619   0.636480   0.289520   0.397999  
153093     0.047619   0.700199   0.627127   0.661652  
196073     0.095238   0.622575   0.447441   0.520676  
23084      0.047619   0.768022   0.378242   0.506861  
78004      0.190476   0.788312   0.625108   0.697288  
163085     0.142857   0.500181   0.407750   0.449260  
231015     0.095238   0.746603   0.535245   0.623499  
118035     0.238095   0.739857   0.574144   0.646551  
361084     0.047619   0.681600   0.696185   0.688815  
105053     0.095238   0.662356   0.480012   0.556631  
80099      0.047619   0.321905   0.317610   0.319743  
92059      0.190476   0.535396   0.401752   0.459044  
216081     0.047619   0.704711   0.664523   0.684027  
62096      0.476190   0.592136   0.563444   0.577434  
76002      0.285714   0.734900   0.640470   0.684443  
134008     0.095238   0.653834   0.287227   0.399121  
55073      0.142857   0.544213   0.497582   0.519854  
35058      0.047619   0.385406   0.335604   0.358785  
65132      0.142857   0.566507   0.386082   0.459208  
65033      0.047619   0.633091   0.556454   0.592304  
388016     0.047619   0.574500   0.568648   0.571559  
169012     0.285714   0.629929   0.404142   0.492385  
302003     0.047619   0.624351   0.602026   0.612985  
253027     0.047619   0.515140   0.584471   0.547620  
159091     0.476190   0.649216   0.560728   0.601736  
181091     0.285714   0.596668   0.559951   0.577727  
157036     0.238095   0.714524   0.286203   0.408701  
304034     0.142857   0.541954   0.230717   0.323651  
271035     0.047619   0.700619   0.471487   0.563657  
66053      0.047619   0.724022   0.530893   0.612596  
188063     0.047619   0.685617   0.405108   0.509292  
232038     0.047619   0.741764   0.561449   0.639132  
299091     0.095238   0.494427   0.395300   0.439341  
166081     0.047619   0.756211   0.623451   0.683443  
311068     0.476190   0.607812   0.602468   0.605128  
253055     0.238095   0.572524   0.609314   0.590346  
227046     0.047619   0.663160   0.439743   0.528823  
46076      0.238095   0.684323   0.645059   0.664111  
163062     0.047619   0.707006   0.466492   0.562102  
148089     0.047619   0.788398   0.347744   0.482617  
