Results for highlight_filter.npy
Best F1         : 0.478209  
Best F1 (Single): 0.477970 

[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.380695   0.642882   0.478209   0.000000 

[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.095238   0.380536   0.642470   0.477970  

[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
159045     0.571429   0.262718   0.837368   0.399953  
181018     0.380952   0.469709   0.835610   0.601376  
207056     0.095238   0.412267   0.841549   0.553419  
202012     0.523810   0.334528   0.783278   0.468827  
135037     0.142857   0.457172   0.241289   0.315868  
157036     0.285714   0.642552   0.422593   0.509861  
12074      0.952381   0.731233   0.515896   0.604974  
20008      0.666667   0.142777   0.754591   0.240121  
247085     0.857143   0.304062   0.727773   0.428922  
302003     0.190476   0.565214   0.890547   0.691528  
293029     0.095238   0.226512   0.796586   0.352725  
65019      0.190476   0.391830   0.717293   0.506809  
153093     0.047619   0.378219   0.810718   0.515803  
208001     0.190476   0.214556   0.938108   0.349237  
368078     0.047619   0.443907   0.613101   0.514963  
188063     0.190476   0.291055   0.517845   0.372658  
22090      0.047619   0.267710   0.784560   0.399203  
365073     0.095238   0.325063   0.779440   0.458789  
41033      0.904762   0.463743   0.533483   0.496175  
160068     0.952381   0.301502   0.315459   0.308322  
187029     0.809524   0.522678   0.625260   0.569386  
45077      0.047619   0.199688   0.763095   0.316543  
135069     0.238095   0.649466   1.000000   0.787487  
189011     0.095238   0.439531   0.667846   0.530152  
189003     0.142857   0.545861   0.457426   0.497746  
43070      0.047619   0.256863   0.608696   0.361273  
271008     0.190476   0.659655   0.638551   0.648932  
285079     0.714286   0.410627   0.739353   0.528007  
100080     0.047619   0.026750   0.176329   0.046452  
385039     0.619048   0.478094   0.556966   0.514525  
106024     0.095238   0.348216   0.976159   0.513320  
27059      0.047619   0.345429   0.873360   0.495055  
241004     0.142857   0.426787   0.957258   0.590364  
176039     0.095238   0.742567   0.522114   0.613126  
163062     0.619048   0.175414   0.523274   0.262748  
254033     0.666667   0.416347   0.323668   0.364204  
198023     0.285714   0.354507   0.666248   0.462774  
159091     0.761905   0.665092   0.617514   0.640420  
130026     0.190476   0.460100   0.302213   0.364806  
351093     0.238095   0.459918   0.797796   0.583473  
55073      0.476190   0.278933   0.779661   0.410871  
122048     0.761905   0.724013   0.541574   0.619644  
118035     0.380952   0.681829   0.664920   0.673269  
220075     0.904762   0.389685   0.593034   0.470320  
268002     0.047619   0.386155   0.566830   0.459365  
35058      0.047619   0.070847   0.530909   0.125011  
65033      0.047619   0.246923   0.862275   0.383909  
249087     0.714286   0.437226   0.634348   0.517656  
138078     0.666667   0.754180   0.653960   0.700504  
143090     0.190476   0.380690   0.677573   0.487488  
304074     0.952381   0.584637   0.577807   0.581202  
183055     0.095238   0.405145   0.941176   0.566451  
300091     0.333333   0.615840   0.545999   0.578820  
134035     0.428571   0.334936   0.444652   0.382073  
28075      0.142857   0.314642   0.988095   0.477297  
209070     0.809524   0.432787   0.795853   0.560677  
108073     0.857143   0.234908   0.390496   0.293348  
374067     0.047619   0.315026   0.770761   0.447251  
246053     0.047619   0.171492   0.792642   0.281977  
157055     0.571429   0.558675   0.630117   0.592249  
61086      0.095238   0.453610   0.276947   0.343918  
166081     0.142857   0.359852   0.929298   0.518807  
65074      0.238095   0.498081   0.880498   0.636248  
189080     0.523810   0.714560   0.798367   0.754142  
35010      0.904762   0.627343   0.868869   0.728612  
147021     0.333333   0.376952   0.772926   0.506760  
108041     0.666667   0.268487   0.308549   0.287127  
105025     0.238095   0.370472   0.626498   0.465610  
42049      0.666667   0.745112   0.947966   0.834387  
216081     0.142857   0.454585   0.856531   0.593947  
41004      0.238095   0.395157   0.728669   0.512426  
28096      0.047619   0.059233   0.135638   0.082458  
66039      0.714286   0.428623   0.696193   0.530583  
33039      0.857143   0.326582   0.488456   0.391445  
271031     0.285714   0.549158   1.000000   0.708976  
372047     0.714286   0.542517   0.579909   0.560590  
361084     0.476190   0.464386   0.944018   0.622532  
126039     0.047619   0.297732   0.633444   0.405072  
374020     0.190476   0.101323   0.504768   0.168768  
227046     0.047619   0.281018   0.680317   0.397742  
210088     0.428571   0.473144   0.467986   0.470551  
126007     0.095238   0.306087   0.666075   0.419430  
311081     0.047619   0.322430   0.478847   0.385371  
296007     0.285714   0.207290   0.803571   0.329565  
253055     0.047619   0.161704   0.805195   0.269321  
187039     0.190476   0.259383   0.290341   0.273990  
22013      0.761905   0.494999   0.284058   0.360971  
314016     0.190476   0.435881   0.900000   0.587317  
41025      0.523810   0.605059   0.691181   0.645259  
108070     0.047619   0.106495   0.343639   0.162599  
71046      0.047619   0.272862   0.923171   0.421222  
253036     0.047619   0.647914   1.000000   0.786344  
353013     0.809524   0.702910   0.598343   0.646425  
216066     0.761905   0.346675   0.453262   0.392868  
376001     0.095238   0.476340   0.777646   0.590794  
148089     0.047619   0.273984   0.492413   0.352072  
69040      0.047619   0.005611   0.210526   0.010931  
271035     0.285714   0.377839   0.567298   0.453579  
103041     0.047619   0.294824   0.380455   0.332210  
229036     0.142857   0.467349   0.575218   0.515703  
100098     0.285714   0.399503   0.778028   0.527926  
92059      0.142857   0.306167   0.692135   0.424539  
249061     0.047619   0.322090   0.727536   0.446506  
42012      0.428571   0.328683   0.591749   0.422623  
140055     0.523810   0.111337   0.408034   0.174940  
37073      0.095238   0.387762   0.915084   0.544707  
94079      0.476190   0.352535   0.474331   0.404463  
55067      0.476190   0.321853   1.000000   0.486972  
62096      0.428571   0.716848   0.711599   0.714214  
163014     0.047619   0.204281   0.734163   0.319626  
65010      0.380952   0.356991   0.771681   0.488154  
231015     0.333333   0.573594   0.821497   0.675520  
161062     0.047619   0.139549   0.460059   0.214142  
163085     0.047619   0.024729   0.074367   0.037116  
104022     0.047619   0.096135   0.457496   0.158883  
238011     0.333333   0.344212   1.000000   0.512139  
299091     0.047619   0.224672   0.811816   0.351943  
12003      0.666667   0.393644   0.763180   0.519390  
118020     0.380952   0.313268   0.596423   0.410777  
117054     0.428571   0.613821   0.793805   0.692307  
198054     0.095238   0.143959   0.143583   0.143771  
54082      0.142857   0.137017   0.607900   0.223629  
23025      0.095238   0.523067   0.742103   0.613625  
130034     0.857143   0.085755   0.704678   0.152903  
113009     0.238095   0.447591   0.815047   0.577850  
145086     0.523810   0.681678   0.909351   0.779225  
385028     0.761905   0.463619   0.846283   0.599057  
101087     0.095238   0.318411   0.863863   0.465313  
147062     0.238095   0.417035   0.629405   0.501670  
311068     0.047619   0.393384   0.766208   0.519862  
239007     0.428571   0.401026   0.800611   0.534381  
76053      0.047619   0.146429   0.577236   0.233600  
253027     0.047619   0.192736   0.899215   0.317433  
55075      0.095238   0.318370   0.798566   0.455244  
15004      0.714286   0.332041   0.549043   0.413820  
8049       0.666667   0.418455   0.970605   0.584790  
242078     0.571429   0.611379   0.502147   0.551405  
87046      0.095238   0.295401   0.574032   0.390069  
106025     0.047619   0.319175   0.992228   0.482986  
76002      0.952381   0.565265   0.884791   0.689824  
112082     0.619048   0.389037   0.577997   0.465055  
239096     0.333333   0.237437   0.544005   0.330586  
301007     0.095238   0.226777   0.828051   0.356044  
21077      0.047619   0.501212   0.578470   0.537077  
134008     0.047619   0.032030   0.619048   0.060908  
45096      0.476190   0.423222   0.833671   0.561429  
145014     0.047619   0.466151   0.446877   0.456310  
105053     0.190476   0.169717   0.756322   0.277226  
370036     0.238095   0.227324   0.883509   0.361608  
90076      0.476190   0.652236   0.802065   0.719432  
178054     0.190476   0.246206   1.000000   0.395129  
113016     0.380952   0.661564   0.865215   0.749808  
232038     0.095238   0.270071   0.854739   0.410452  
12084      0.047619   0.043923   0.206022   0.072409  
368016     0.904762   0.533299   0.698646   0.604877  
80099      0.047619   0.111619   0.547368   0.185426  
78019      0.380952   0.274304   0.574828   0.371385  
181091     0.428571   0.522665   0.685481   0.593102  
54005      0.047619   0.522147   0.550054   0.535737  
260081     0.333333   0.327064   0.377933   0.350664  
304034     0.714286   0.459832   0.315962   0.374557  
169012     0.380952   0.279917   0.387316   0.324973  
246016     0.333333   0.452643   0.688263   0.546123  
69020      0.190476   0.318498   0.882989   0.468137  
196073     0.047619   0.123898   0.371134   0.185777  
24004      0.952381   0.426088   0.622663   0.505953  
187083     0.047619   0.387097   0.517026   0.442726  
236017     0.142857   0.165000   0.510703   0.249417  
310007     0.142857   0.481708   0.720000   0.577228  
147091     0.333333   0.723648   0.841696   0.778220  
22093      0.952381   0.443066   0.904304   0.594738  
46076      0.285714   0.381983   0.929280   0.541415  
78004      0.095238   0.589545   0.697555   0.639018  
89072      0.142857   0.423859   0.353391   0.385430  
23084      0.761905   0.662605   0.550880   0.601599  
156079     0.571429   0.365709   0.688679   0.477730  
65132      0.333333   0.297686   0.485165   0.368976  
388016     0.333333   0.338055   0.973623   0.501859  
159029     0.238095   0.348025   0.444137   0.390250  
15088      0.047619   0.275661   0.295515   0.285243  
227040     0.238095   0.202500   0.643744   0.308087  
167062     0.095238   0.807469   0.960171   0.877224  
109034     0.047619   0.383134   0.338015   0.359163  
16077      0.333333   0.458467   0.549516   0.499880  
164074     0.047619   0.098889   0.135650   0.114389  
159008     0.380952   0.437182   0.675238   0.530738  
42078      0.190476   0.589883   0.737627   0.655534  
66053      0.190476   0.338422   0.831395   0.481037  
296059     0.428571   0.676139   0.958811   0.793039  
145053     0.333333   0.526681   0.765294   0.623953  
376020     0.047619   0.319299   0.572313   0.409907  
365025     0.333333   0.255086   0.798263   0.386625  
295087     0.047619   0.163925   0.744430   0.268685  
59078      0.238095   0.482772   0.775831   0.595183  
48055      0.523810   0.317018   0.489028   0.384669  
225017     0.523810   0.658523   0.458073   0.540305  
182053     0.761905   0.318632   0.656632   0.429061  
106020     0.190476   0.421160   0.478281   0.447907  
109053     0.047619   0.201600   0.816296   0.323344  
2092       0.142857   0.232188   0.823529   0.362244  


[Results Per Threshold]
Threshold  Recall     Precision  F1-Score  
0.047619   0.380516   0.642424   0.477942  
0.095238   0.380536   0.642470   0.477970  
0.142857   0.380519   0.642401   0.477937  
0.190476   0.380534   0.642427   0.477956  
0.238095   0.380515   0.642429   0.477942  
0.285714   0.380505   0.642442   0.477938  
0.333333   0.380516   0.642454   0.477950  
0.380952   0.380527   0.642434   0.477952  
0.428571   0.380510   0.642401   0.477930  
0.476190   0.380522   0.642409   0.477942  
0.523810   0.380517   0.642384   0.477931  
0.571429   0.380516   0.642406   0.477937  
0.619048   0.380511   0.642404   0.477932  
0.666667   0.380513   0.642427   0.477940  
0.714286   0.380521   0.642439   0.477949  
0.761905   0.380517   0.642462   0.477953  
0.809524   0.380511   0.642427   0.477938  
0.857143   0.380508   0.642381   0.477923  
0.904762   0.380516   0.642381   0.477930  
0.952381   0.380526   0.642429   0.477951  
