Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.582563  
Best F1 (Single): 0.550882  
AVG F1          : 0.566723  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.677359   0.511042   0.582563   0.511931  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.142857   0.648370   0.478879   0.550882  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
145086     0.190476   0.805951   0.875973   0.839505  
126039     0.047619   0.690345   0.544954   0.609094  
100098     0.238095   0.773366   0.724854   0.748325  
147091     0.238095   0.839320   0.796487   0.817342  
35010      0.285714   0.750233   0.829951   0.788081  
23025      0.142857   0.757055   0.615404   0.678920  
65074      0.095238   0.794760   0.702580   0.745833  
8049       0.095238   0.815060   0.704449   0.755729  
183055     0.428571   0.409049   0.938897   0.569837  
176039     0.523810   0.698226   0.600000   0.645397  
130026     0.571429   0.383973   0.401139   0.392369  
374067     0.095238   0.699479   0.467122   0.560161  
78019      0.095238   0.839903   0.505201   0.630910  
135069     0.285714   0.774911   0.968699   0.861036  
126007     0.095238   0.630546   0.507463   0.562348  
157055     0.285714   0.630118   0.611973   0.620913  
100080     0.047619   0.596189   0.417148   0.490852  
76053      0.095238   0.675696   0.341143   0.453384  
163014     0.095238   0.660980   0.528013   0.587062  
239007     0.095238   0.766292   0.634004   0.693900  
61086      0.523810   0.536732   0.350506   0.424075  
2092       0.095238   0.569122   0.591467   0.580079  
208001     0.047619   0.635536   0.518837   0.571288  
145014     0.428571   0.531884   0.477297   0.503114  
368078     0.190476   0.708831   0.566291   0.629594  
135037     0.142857   0.603396   0.250698   0.354224  
55075      0.095238   0.698297   0.553298   0.617399  
296059     0.285714   0.709248   0.959666   0.815669  
164074     0.095238   0.688381   0.144984   0.239522  
153093     0.142857   0.744060   0.692518   0.717365  
196073     0.095238   0.674162   0.495904   0.571455  
23084      0.428571   0.669946   0.604889   0.635758  
78004      0.142857   0.771616   0.598978   0.674425  
163085     0.095238   0.572383   0.239865   0.338061  
231015     0.428571   0.587706   0.813933   0.682563  
118035     0.333333   0.756086   0.719847   0.737522  
361084     0.095238   0.814805   0.716018   0.762224  
105053     0.095238   0.636092   0.503903   0.562334  
80099      0.047619   0.541714   0.287805   0.375900  
92059      0.190476   0.418600   0.514298   0.461540  
216081     0.095238   0.778455   0.706032   0.740477  
62096      0.476190   0.742514   0.750000   0.746238  
76002      0.142857   0.764182   0.733965   0.748769  
134008     0.190476   0.463813   0.250960   0.325694  
55073      0.142857   0.576688   0.534389   0.554733  
35058      0.047619   0.537372   0.308998   0.392374  
65132      0.190476   0.488694   0.353061   0.409950  
65033      0.095238   0.715733   0.548123   0.620814  
388016     0.095238   0.712202   0.672344   0.691699  
169012     0.523810   0.309661   0.419693   0.356377  
302003     0.142857   0.773403   0.772293   0.772847  
253027     0.095238   0.734841   0.739078   0.736954  
159091     0.285714   0.733321   0.563651   0.637388  
181091     0.428571   0.562670   0.722098   0.632492  
157036     0.380952   0.788722   0.439362   0.564350  
304034     0.380952   0.550880   0.312877   0.399088  
271035     0.142857   0.740832   0.509081   0.603471  
66053      0.095238   0.674973   0.524879   0.590538  
188063     0.095238   0.661672   0.407179   0.504128  
232038     0.095238   0.784412   0.607565   0.684754  
299091     0.095238   0.440178   0.391463   0.414394  
166081     0.095238   0.657406   0.665815   0.661584  
311068     0.285714   0.452371   0.624587   0.524710  
253055     0.142857   0.565743   0.639526   0.600376  
227046     0.142857   0.545422   0.593216   0.568316  
46076      0.142857   0.619401   0.733124   0.671482  
163062     0.095238   0.666879   0.348558   0.457824  
148089     0.142857   0.720581   0.375302   0.493548  
159045     0.095238   0.763883   0.512922   0.613739  
109053     0.095238   0.619491   0.412635   0.495334  
37073      0.095238   0.717789   0.791928   0.753038  
300091     0.380952   0.648269   0.617625   0.632576  
