Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.341205  
Best F1 (Single): 0.340576  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.900349   0.210486   0.341205   0.000000  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.809524   0.900327   0.210009   0.340576  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
145086     0.714286   0.987573   0.253500   0.403441  
126039     0.476190   0.647407   0.525960   0.580398  
100098     0.333333   0.988338   0.253341   0.403303  
147091     0.095238   0.989591   0.284570   0.442029  
35010      0.047619   0.968231   0.496030   0.655992  
23025      0.809524   0.926135   0.294250   0.446605  
65074      0.857143   0.897909   0.422560   0.574675  
8049       0.666667   0.931623   0.436773   0.594722  
183055     0.190476   0.717731   0.163800   0.266728  
176039     0.238095   0.963485   0.096343   0.175169  
130026     0.761905   0.749249   0.055577   0.103478  
374067     0.523810   0.797049   0.251200   0.382007  
78019      0.809524   0.969638   0.263196   0.414013  
135069     0.285714   0.997776   0.794721   0.884748  
126007     0.857143   0.896638   0.279460   0.426112  
157055     0.666667   0.980138   0.247295   0.394943  
100080     0.238095   0.437401   0.457730   0.447335  
76053      0.380952   0.800341   0.134774   0.230700  
163014     0.238095   0.947843   0.245009   0.389369  
239007     0.095238   0.970756   0.299119   0.457323  
61086      0.476190   0.987967   0.115576   0.206943  
2092       0.190476   0.962575   0.354587   0.518261  
208001     0.952381   0.879982   0.369680   0.520639  
145014     0.666667   0.865708   0.161055   0.271585  
368078     0.809524   0.989090   0.239200   0.385235  
135037     0.190476   0.675621   0.248927   0.363811  
55075      0.619048   0.903406   0.262336   0.406602  
296059     0.952381   0.930610   0.282890   0.433886  
164074     0.571429   0.855617   0.103596   0.184816  
153093     0.190476   0.872653   0.466876   0.608304  
196073     0.952381   0.999559   0.075099   0.139702  
23084      0.619048   0.974159   0.186559   0.313148  
78004      0.047619   0.946929   0.246305   0.390927  
163085     0.619048   0.860650   0.171266   0.285682  
231015     0.238095   0.996341   0.187958   0.316255  
118035     0.571429   0.873863   0.584719   0.700631  
361084     0.190476   0.982293   0.421206   0.589594  
105053     0.190476   0.748707   0.310516   0.438974  
80099      0.190476   0.526095   0.219048   0.309310  
92059      0.095238   0.908586   0.143775   0.248264  
216081     0.571429   0.951068   0.317745   0.476346  
62096      0.190476   0.948174   0.156857   0.269183  
76002      0.523810   0.976960   0.272333   0.425935  
134008     0.047619   0.923006   0.136508   0.237840  
55073      0.714286   0.976523   0.186786   0.313590  
35058      0.142857   0.387000   0.299787   0.337856  
65132      0.761905   0.815775   0.144918   0.246115  
65033      0.809524   0.993636   0.195586   0.326837  
388016     0.666667   0.986592   0.242846   0.389755  
169012     0.095238   0.712935   0.129495   0.219179  
302003     0.428571   0.917265   0.536818   0.677271  
253027     0.666667   0.995800   0.459726   0.629044  
159091     0.095238   0.998299   0.113732   0.204200  
181091     0.238095   0.937103   0.161281   0.275199  
157036     0.523810   0.970506   0.108778   0.195629  
304034     0.380952   0.997450   0.068038   0.127386  
271035     0.333333   0.984072   0.270341   0.424158  
66053      0.047619   0.893234   0.217187   0.349415  
188063     0.380952   0.772594   0.214704   0.336026  
232038     0.190476   0.946156   0.286258   0.439535  
299091     0.476190   0.441417   0.194192   0.269724  
166081     0.047619   0.861085   0.305468   0.450960  
311068     0.761905   0.882822   0.083852   0.153157  
253055     0.380952   0.970814   0.477705   0.640326  
227046     0.619048   0.961869   0.209664   0.344282  
46076      0.333333   0.922748   0.407605   0.565439  
163062     0.238095   0.818726   0.178102   0.292561  
148089     0.476190   0.956167   0.160012   0.274146  
159045     0.523810   0.980666   0.248581   0.396625  
109053     0.380952   0.871065   0.259757   0.400179  
37073      0.333333   0.905484   0.596205   0.718996  
300091     0.761905   0.985968   0.155258   0.268272  
112082     0.952381   0.968316   0.111743   0.200365  
160068     0.285714   0.825008   0.138125   0.236633  
20008      0.666667   0.680009   0.235654   0.350012  
268002     0.809524   0.903732   0.169954   0.286104  
33039      0.904762   0.997353   0.134461   0.236973  
236017     0.904762   0.889878   0.136221   0.236273  
16077      0.571429   0.898648   0.168355   0.283583  
247085     0.523810   0.918233   0.229541   0.367272  
42012      0.952381   0.704561   0.256184   0.375745  
42049      0.095238   0.992928   0.586389   0.737334  
122048     0.333333   0.894037   0.247782   0.388023  
106024     0.190476   0.614032   0.198021   0.299466  
209070     0.857143   0.844496   0.356957   0.501807  
253036     0.952381   0.980071   0.870077   0.921804  
87046      0.095238   0.869202   0.213188   0.342397  
238011     0.619048   0.985226   0.844168   0.909259  
118020     0.809524   0.927035   0.262707   0.409398  
54082      0.476190   0.799281   0.351118   0.487904  
41033      0.047619   0.823238   0.211594   0.336658  
246053     0.333333   0.553730   0.561710   0.557692  
108041     0.619048   0.744863   0.193726   0.307481  
365025     0.809524   0.815212   0.410474   0.546018  
293029     0.809524   0.943331   0.114330   0.203942  
372047     0.476190   0.990940   0.355647   0.523434  
143090     0.047619   0.824849   0.430513   0.565746  
198054     0.904762   0.998695   0.181661   0.307406  
202012     0.238095   0.997978   0.155447   0.268995  
239096     0.380952   0.721664   0.295817   0.419625  
117054     0.047619   0.810298   0.145748   0.247058  
260081     0.238095   0.848339   0.176325   0.291966  
147021     0.190476   0.933086   0.093819   0.170495  
65010      0.857143   0.908174   0.239786   0.379398  
376001     0.095238   0.985956   0.337102   0.502423  
285079     0.619048   0.965856   0.224492   0.364309  
66039      0.904762   0.861370   0.116266   0.204879  
22093      0.619048   0.999557   0.264359   0.418133  
147062     0.952381   0.977661   0.138100   0.242013  
216066     0.952381   0.983215   0.112487   0.201877  
90076      0.428571   0.882269   0.381433   0.532604  
134035     0.047619   0.970815   0.178858   0.302065  
54005      0.428571   0.985756   0.136148   0.239252  
220075     0.238095   0.724086   0.307738   0.431913  
94079      0.761905   0.988270   0.074348   0.138293  
45096      0.666667   0.694868   0.522867   0.596721  
41004      0.571429   0.893301   0.298979   0.448013  
113016     0.857143   0.992557   0.144502   0.252277  
159008     0.047619   0.884532   0.237821   0.374856  
12003      0.238095   0.949518   0.290828   0.445274  
295087     0.238095   0.948633   0.223796   0.362154  
101087     0.904762   0.952523   0.351304   0.513297  
22013      0.238095   0.992447   0.155063   0.268219  
187039     0.619048   0.999214   0.103582   0.187706  
15004      0.095238   0.936053   0.243806   0.386852  
28096      0.142857   0.861789   0.089504   0.162166  
242078     0.190476   0.963524   0.256351   0.404960  
28075      0.380952   0.947300   0.123278   0.218164  
130034     0.714286   0.998094   0.067811   0.126994  
89072      0.190476   0.898113   0.186420   0.308752  
109034     0.619048   0.976890   0.079389   0.146844  
254033     0.380952   0.979566   0.086255   0.158549  
304074     0.190476   0.981696   0.097091   0.176706  
69040      0.857143   0.842049   0.174254   0.288753  
71046      0.857143   0.973113   0.245832   0.392507  
187029     0.095238   0.808274   0.257933   0.391070  
229036     0.952381   0.988705   0.113451   0.203546  
43070      0.952381   0.982353   0.149510   0.259522  
189003     0.952381   0.940104   0.184565   0.308553  
178054     0.523810   0.697772   0.107391   0.186135  
159029     0.619048   0.937769   0.166636   0.282987  
12084      0.857143   0.975181   0.188026   0.315265  
189080     0.476190   0.861378   0.412951   0.558265  
296007     0.380952   0.734872   0.260463   0.384608  
241004     0.142857   0.875093   0.383317   0.533114  
140055     0.619048   0.867643   0.162000   0.273024  
108073     0.333333   0.931102   0.199401   0.328460  
105025     0.952381   0.912091   0.121192   0.213955  
351093     0.476190   0.994149   0.165751   0.284130  
271008     0.047619   0.949851   0.295333   0.450572  
310007     0.761905   0.997024   0.125623   0.223132  
385028     0.857143   0.986318   0.219373   0.358918  
65019      0.047619   0.922325   0.431348   0.587798  
167062     0.571429   0.999585   0.181854   0.307723  
374020     0.476190   0.873123   0.269349   0.411694  
42078      0.523810   0.877237   0.447243   0.592441  
103041     0.571429   0.789947   0.177449   0.289799  
104022     0.809524   0.929777   0.296064   0.449118  
48055      0.714286   0.987289   0.120221   0.214342  
249087     0.714286   0.950181   0.170696   0.289402  
198023     0.285714   0.899093   0.132967   0.231672  
55067      0.380952   0.512127   0.689579   0.587751  
249061     0.476190   0.977197   0.222463   0.362419  
227040     0.714286   0.910480   0.291646   0.441780  
138078     0.952381   0.984432   0.133764   0.235525  
311081     0.142857   0.976809   0.089733   0.164367  
161062     0.523810   0.942003   0.268635   0.418052  
106025     0.190476   0.515862   0.392479   0.445791  
182053     0.190476   0.972921   0.325581   0.487893  
108070     0.476190   0.870545   0.082930   0.151433  
385039     0.761905   0.942149   0.217039   0.352803  
353013     0.857143   0.973999   0.178014   0.301013  
145053     0.809524   0.979112   0.269049   0.422108  
246016     0.142857   0.741798   0.436148   0.549318  
181018     0.285714   0.788841   0.404691   0.534945  
12074      0.666667   0.926774   0.267743   0.415461  
368016     0.047619   0.966255   0.263122   0.413612  
370036     0.809524   0.901109   0.536883   0.672869  
113009     0.619048   0.947133   0.492551   0.648075  
225017     0.047619   0.982232   0.128438   0.227170  
365073     0.333333   0.996476   0.256763   0.408315  
59078      0.190476   0.868687   0.236734   0.372072  
189011     0.761905   0.659148   0.401125   0.498741  
106020     0.476190   0.937523   0.163217   0.278031  
301007     0.666667   0.867363   0.269401   0.411112  
210088     0.904762   0.826619   0.353573   0.495292  
