Current working directory: /data/yoojinoh/CV/data
Data size: 200
Best F1         : 0.476200  
Best F1 (Single): 0.430413  
[Overall Results]
Recall     Precision  F1-Score   Area PR   
0.679269   0.366604   0.476200   0.292060  
[Overall Results using Single Threshold]
Threshold  Recall     Precision  F1-Score  
0.523810   0.627979   0.327409   0.430413  
[Results Per Image]
ID         Threshold  Recall     Precision  F1-Score  
145086     0.619048   0.812792   0.641895   0.717305  
126039     0.285714   0.582958   0.579222   0.581084  
100098     0.666667   0.806551   0.553185   0.656263  
147091     0.714286   0.814250   0.679421   0.740750  
35010      0.476190   0.849196   0.704894   0.770345  
23025      0.523810   0.619632   0.489714   0.547065  
65074      0.190476   0.939394   0.403782   0.564797  
8049       0.571429   0.784237   0.660047   0.716803  
183055     0.190476   0.772853   0.154907   0.258085  
176039     0.714286   0.496870   0.253770   0.335955  
130026     0.761905   0.391653   0.134066   0.199754  
374067     0.380952   0.534838   0.386298   0.448591  
78019      0.523810   0.828969   0.382244   0.523225  
135069     0.523810   0.977313   0.921176   0.948415  
126007     0.428571   0.669791   0.402550   0.502871  
157055     0.571429   0.718484   0.450372   0.553679  
100080     0.285714   0.428484   0.438012   0.433196  
76053      0.523810   0.431521   0.436069   0.433783  
163014     0.428571   0.683907   0.356793   0.468940  
239007     0.428571   0.717498   0.498768   0.588465  
61086      0.761905   0.473718   0.262220   0.337578  
2092       0.428571   0.667430   0.589826   0.626233  
208001     0.380952   0.655634   0.484258   0.557063  
145014     0.523810   0.700209   0.202800   0.314509  
368078     0.523810   0.888534   0.327554   0.478654  
135037     0.142857   0.810948   0.248276   0.380163  
55075      0.476190   0.549635   0.545921   0.547772  
296059     0.476190   0.750349   0.726428   0.738194  
164074     0.047619   0.942332   0.110912   0.198465  
153093     0.333333   0.772969   0.532148   0.630340  
196073     0.571429   0.632716   0.491561   0.553278  
23084      0.619048   0.638232   0.324072   0.429871  
78004      0.476190   0.824985   0.383460   0.523564  
163085     0.380952   0.638087   0.203091   0.308114  
231015     0.666667   0.609346   0.482554   0.538588  
118035     0.523810   0.806122   0.756046   0.780282  
361084     0.476190   0.854547   0.590564   0.698444  
105053     0.333333   0.550935   0.432577   0.484634  
80099      0.380952   0.378286   0.301282   0.335421  
92059      0.523810   0.516756   0.304933   0.383541  
216081     0.523810   0.760992   0.588701   0.663850  
62096      0.904762   0.378908   0.503488   0.432403  
76002      0.571429   0.776299   0.604431   0.679669  
134008     0.333333   0.767478   0.139529   0.236129  
55073      0.714286   0.471714   0.387307   0.425364  
35058      0.190476   0.476798   0.275746   0.349415  
65132      0.571429   0.410348   0.224493   0.290215  
65033      0.571429   0.639956   0.471618   0.543040  
388016     0.476190   0.766591   0.474433   0.586122  
169012     0.619048   0.424602   0.216305   0.286605  
302003     0.428571   0.763949   0.705585   0.733608  
253027     0.523810   0.877846   0.613732   0.722406  
159091     0.761905   0.657721   0.433101   0.522284  
181091     0.666667   0.590435   0.476646   0.527473  
157036     0.619048   0.812465   0.259866   0.393781  
304034     0.714286   0.492731   0.196773   0.281234  
271035     0.476190   0.800315   0.412651   0.544534  
66053      0.333333   0.721265   0.237342   0.357157  
188063     0.428571   0.557547   0.321257   0.407635  
232038     0.428571   0.697409   0.399972   0.508382  
299091     0.238095   0.444142   0.182718   0.258918  
166081     0.476190   0.567798   0.580829   0.574240  
311068     0.714286   0.527700   0.219007   0.309546  
253055     0.428571   0.718160   0.773852   0.744967  
227046     0.523810   0.652283   0.445701   0.529558  
46076      0.333333   0.766608   0.464695   0.578637  
163062     0.571429   0.421656   0.277998   0.335079  
148089     0.571429   0.697779   0.308826   0.428157  
159045     0.571429   0.668998   0.540780   0.598095  
